Replicate,Treatment_all,Generation,Treatment,Rechallenge_dose_uM,Rechallenge_Treatment,NeuronScore
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,6
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,6
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,3
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,1
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,1
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,1
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,2
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,6
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,1
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,0
1,F1 003uM 25uM,F1,0.03,25,Rechallenged,4
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,1
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,1
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,1
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 003uM control,F1,0.03,0,Not rechallenged,0
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,0
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,0
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,1
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,5
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,6
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,6
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,6
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,6
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,0
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,1
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,1
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,5
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,5
1,F1 050uM 25uM,F1,0.5,25,Rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,1
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,5
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,1
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 050uM control,F1,0.5,0,Not rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,6
1,F1 control 25uM,F1,0,25,Rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,5
1,F1 control 25uM,F1,0,25,Rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,0
1,F1 control 25uM,F1,0,25,Rechallenged,2
