"","rho","type_ii_rate_mwu","type_ii_rate_kruskal","type_ii_rate_jonck","power_mwu","power_kruskal","power_jonck"
"1",-0.5,0.801,0.001,0,0.199,0.999,1
"2",0.5,0.842,0.001,0,0.158,0.999,1
"3",-0.7,0.79,0,0,0.21,1,1
"4",-0.6,0.763,0,0,0.237,1,1
"5",-0.5,0.791,0,0,0.209,1,1
"6",-0.4,0.792,0.034,0.013,0.208,0.966,0.987
"7",-0.3,0.829,0.217,0.136,0.171,0.783,0.864
"8",-0.2,0.817,0.573,0.479,0.183,0.427,0.521
"9",-0.0999999999999999,0.827,0.884,0.832,0.173,0.116,0.168
"10",1.11022302462516e-16,0.871,0.942,0.951,0.129,0.0580000000000001,0.049
"11",0.1,0.854,0.89,0.857,0.146,0.11,0.143
"12",0.2,0.834,0.602,0.487,0.166,0.398,0.513
"13",0.3,0.869,0.193,0.125,0.131,0.807,0.875
"14",0.4,0.864,0.02,0.009,0.136,0.98,0.991
"15",0.5,0.874,0.001,0.001,0.126,0.999,0.999
"16",0.6,0.885,0,0,0.115,1,1
"17",0.7,0.888,0,0,0.112,1,1
